Form type,Form description,Filing date,Reporting date,Act,Film number(s),File number(s),Accession number,Size,Filings URL
10-D,Asset-Backed Issuer Distribution Report [Section 13 or 15(d) of the Securities Exchange Act of 1934],5/29/2024,4/30/2024,34,24997315,,0000929638-24-001992,343085,https://www.sec.gov/Archives/edgar/data/1954436/000092963824001992/0000929638-24-001992-index.htm
ABS-EE,Asset-Backed Electronic Exhibits,5/29/2024,4/30/2024,34,24995557,,0000929638-24-001952,109570679,https://www.sec.gov/Archives/edgar/data/1954436/000092963824001952/0000929638-24-001952-index.htm
10-D,Asset-Backed Issuer Distribution Report [Section 13 or 15(d) of the Securities Exchange Act of 1934],4/29/2024,3/31/2024,34,24890090,,0000929638-24-001639,344512,https://www.sec.gov/Archives/edgar/data/1954436/000092963824001639/0000929638-24-001639-index.htm
ABS-EE,Asset-Backed Electronic Exhibits,4/29/2024,3/31/2024,34,24888640,,0000929638-24-001603,109551427,https://www.sec.gov/Archives/edgar/data/1954436/000092963824001603/0000929638-24-001603-index.htm
10-K,"Annual report [Section 13 and 15(d), not S-K Item 405]",3/28/2024,12/31/2023,34,24800469,,0000929638-24-001306,265307,https://www.sec.gov/Archives/edgar/data/1954436/000092963824001306/0000929638-24-001306-index.htm
10-D,Asset-Backed Issuer Distribution Report [Section 13 or 15(d) of the Securities Exchange Act of 1934],3/27/2024,2/29/2024,34,24788149,,0000929638-24-001228,344064,https://www.sec.gov/Archives/edgar/data/1954436/000092963824001228/0000929638-24-001228-index.htm
ABS-EE,Asset-Backed Electronic Exhibits,3/27/2024,2/29/2024,34,24786487,,0000929638-24-001193,109531598,https://www.sec.gov/Archives/edgar/data/1954436/000092963824001193/0000929638-24-001193-index.htm
10-D,Asset-Backed Issuer Distribution Report [Section 13 or 15(d) of the Securities Exchange Act of 1934],2/28/2024,1/31/2024,34,24694033,,0000929638-24-000837,342829,https://www.sec.gov/Archives/edgar/data/1954436/000092963824000837/0000929638-24-000837-index.htm
ABS-EE,Asset-Backed Electronic Exhibits,2/28/2024,1/31/2024,34,24692439,,0000929638-24-000806,109539023,https://www.sec.gov/Archives/edgar/data/1954436/000092963824000806/0000929638-24-000806-index.htm
10-D,Asset-Backed Issuer Distribution Report [Section 13 or 15(d) of the Securities Exchange Act of 1934],1/29/2024,12/31/2023,34,24572629,,0000929638-24-000269,342464,https://www.sec.gov/Archives/edgar/data/1954436/000092963824000269/0000929638-24-000269-index.htm
ABS-EE,Asset-Backed Electronic Exhibits,1/29/2024,12/31/2023,34,24571782,,0000929638-24-000237,109492455,https://www.sec.gov/Archives/edgar/data/1954436/000092963824000237/0000929638-24-000237-index.htm
10-D,Asset-Backed Issuer Distribution Report [Section 13 or 15(d) of the Securities Exchange Act of 1934],12/28/2023,11/30/2023,34,231522690,,0000929638-23-003566,345173,https://www.sec.gov/Archives/edgar/data/1954436/000092963823003566/0000929638-23-003566-index.htm
ABS-EE,Asset-Backed Electronic Exhibits,12/28/2023,11/30/2023,34,231520989,,0000929638-23-003531,109473557,https://www.sec.gov/Archives/edgar/data/1954436/000092963823003531/0000929638-23-003531-index.htm
